word,definition
Define the word: aardwolf,South African carnivorous fox-like quadruped
Define the word: aasvogel,South African vulture
Define the word: aba,garment of camel or goat hair; camel or goat-hair fabric
Define the word: abacinate,to blind by putting red-hot copper basin near the eyes
Define the word: abactor,cattle thief
Define the word: abaculus,small tile for mosaic
Define the word: abaft,toward or at the stern of a ship; further aft
Define the word: abampere,unit equivalent to 10 amperes
Define the word: abapical,at the lowest point
Define the word: abarticular,not connected with the joint
Define the word: abasement,action of humbling or degrading
Define the word: abasia,inability to walk due to lack of muscular coordination
Define the word: abask,in genial warmth
Define the word: abatis,rampart of felled trees and branches
Define the word: abatjour,skylight or device to direct light into a room
Define the word: abattoir,public slaughterhouse
Define the word: abature,trail through wood beaten down by a stag
Define the word: abb,yarn used for warp
Define the word: abba,Syriac or Coptic bishop
Define the word: abbatial,of like or pertaining to abbots or an abbey
Define the word: abbozzo,preliminary sketch
Define the word: abditive,remote; secret; hidden
Define the word: abdominous,having a paunch or big belly
Define the word: abducent,turning away; bearing away from
Define the word: abeam,in a line at right angles to the length of a vessel on the beam
Define the word: abear,to bear; to comport; to behave
Define the word: abecedarian,of like or pertaining to the order of the alphabet; rudimentary
Define the word: abecedism,word created from the initials of words in a phrase
Define the word: abele,white poplar tree
Define the word: abeng,Jamaican bugle made from cow horn
Define the word: aberdevine,alternate name for the siskin
Define the word: aberuncators,long tool for pruning tall branches
Define the word: abessive,indicating absence or lack
Define the word: abiectic,of like or pertaining to fir trees or fir sap
Define the word: abigail,a lady's maid
Define the word: abigeus,cattle rustler
Define the word: abiogenesis,spontaneous generation of living matter
Define the word: abiotrophy,degeneration; loss of physical vitality or ability
Define the word: abirritate,to alleviate irritation; to reduce sensitivity
Define the word: abiturient,pupil leaving school for university
Define the word: abject,humble; miserable; craven
Define the word: ablactation,weaning of a child from its mother's milk
Define the word: ablative,indicating direction from or time when
Define the word: ablator,thermal protection on outside of spacecraft
Define the word: ablaut,variation in root vowel of words to change meaning
Define the word: ablegate,papal envoy or legate
Define the word: ablepsia,blindness
Define the word: ablow,in a blowing state
Define the word: abluent,cleanser or cleansing product
Define the word: ablution,ritual washing
Define the word: ablutomania,mania for washing oneself
Define the word: abnegate,to renounce or repudiate
Define the word: abodement,an omen; a foretelling
Define the word: aboideau,tide gate
Define the word: abolla,Roman military cloak
Define the word: abomasum,ruminant's fourth stomach
Define the word: aboral,away from the mouth
Define the word: abord,to accost; to approach
Define the word: aborning,during birth; while being born
Define the word: aborticide,killing of a fetus; abortion
Define the word: abortuary,anti-abortion term for an abortion clinic
Define the word: aboulia,loss of ability to make decisions
Define the word: aboulomania,pathological indecisiveness
Define the word: aboutsledge,largest blacksmith's hammer
Define the word: abra,narrow mountain pass
Define the word: abradant,a substance that abrades
Define the word: abraid,to awaken or rouse
Define the word: abraxas,gem engraved with mystical word and bearing human-animal figure
Define the word: abreuvoir,joint or gap between two stones in masonry
Define the word: abroach,in a condition to allow liquor to run out
Define the word: abrosia,fasting
Define the word: abscind,to pare reduce cut off or away
Define the word: abscissa,horizontal distance from a fixed line to a point
Define the word: abscission,cutting off; cutting away
Define the word: absconce,lantern used in monasteries and night offices
Define the word: abseil,to descend a rock face using a double rope
Define the word: absentaneous,done in absence; pertaining to absence
Define the word: absinthial,of like or pertaining to wormwood; bitter
Define the word: absinthism,disease resembling alcoholism
Define the word: absit,leave to pass one night away from college
Define the word: absolutism,doctrine of government by a single absolute ruler; autocracy
Define the word: absolutive,indicating subject or object of intransitive verb
Define the word: absolutory,forgiving or absolving
Define the word: absonant,discordant; abhorrent
Define the word: absorbefacient,causing or promoting absorption
Define the word: absorptiometer,instrument for measuring solubility of gases in liquids
Define the word: absquatulate,to decamp; to leave quickly; to flee
Define the word: absterge,wipe clean; expunge; purge; purify
Define the word: absurdism,doctrine that we live in an irrational universe
Define the word: abterminal,going from the end inwards
Define the word: abthane,monastic region of the old Irish church
Define the word: abulia,lack of ability to make decisions; aboulia
Define the word: abuna,Ethiopian patriarch
Define the word: abusion,misuse; outrage; deception
Define the word: abutment,masonry on a wall that supports an arch
Define the word: abvolt,unit of electrical potential equal to one hundred millionth of a volt
Define the word: aby,to make amends; atone; pay a penalty
Define the word: abyssopelagic,of like or pertaining to the depths of the ocean
Define the word: academicism,doctrine that nothing can be known
Define the word: acanaceous,bearing prickles or thistles; prickly
Define the word: acantha,prickle
Define the word: acanthous,spiny; prickly
Define the word: acapnia,lack or deficiency of carbon dioxide
Define the word: acapnotic,non-smoker; non-smoking
Define the word: acariasis,irritating itching insect infestation
Define the word: acaricide,killer of mites and ticks
Define the word: acarine,of like or pertaining to ticks or mites
Define the word: acarology,study of mites
Define the word: acarophobia,fear of itching or of insects causing itching
Define the word: acarpous,sterile; not bearing fruit
Define the word: acatalectic,having complete or full number of syllables in a poetic line
Define the word: acatalepsy,the unknowableness of all things to a certainty
Define the word: acatamathesia,inability to understand data presented to the senses
Define the word: acates,provisions that have been purchased
Define the word: acatour,provisioner; quartermaster
Define the word: acaudate,tailless
Define the word: acaulescent,having a very short stem
Define the word: accelerometer,instrument for measuring acceleration or vibrations
Define the word: accend,to kindle
Define the word: accensor,acolyte
Define the word: accentor,songbird
Define the word: acceptilation,remission of debt or liability through fictitious repayment
Define the word: accessit,prize for students in second place; honourable mention
Define the word: acciaccatura,very short note played before a longer one
Define the word: accidence,grammar book; science of inflections in grammar
Define the word: accidentalism,theory that events do not have causes
Define the word: accidie,sloth; physical torpor
Define the word: accinge,to gird
Define the word: accipiter,bandage worn around the nose
Define the word: accipitral,like a bird of prey; rapacious
Define the word: accipitrine,of like or pertaining to falcons and hawks
Define the word: accismus,in rhetoric pretending to refuse something
Define the word: accite,to cite; to summon
Define the word: acclinate,sloping upwards
Define the word: acclivity,upward slope
Define the word: accloy,to hobble with a horseshoe nail
Define the word: accolade,curved architectural moulding; vertical line joining two musical staves
